city,persons
111,7
112,8
113,8
114,6
115,6
116,10
117,12
118,6
119,5
120,8
121,11
122,6
123,6
124,11
125,5
126,10
127,10
128,9
129,5
130,6
131,9
132,7
133,7
134,15
135,8
136,13
137,6
138,4
139,9
140,10
141,9
142,7
143,6
144,7
145,6
146,4
147,6
148,10
149,8
150,7
151,4
152,8
153,8
154,11
155,5
156,6
157,4
158,4
159,7
160,7
161,13
162,6
163,7
164,5
165,8
166,4
167,4
168,6
169,4
170,9
171,9
172,3
173,11
174,9
175,5
176,4
177,7
178,14
179,5
180,7
181,5
182,4
183,9
184,14
185,11
186,8
187,12
188,5
189,7
190,7
191,12
192,12
193,4
194,6
195,9
196,9
197,7
198,10
199,11
200,10
201,6
202,5
203,6
204,4
205,10
206,3
207,2
208,11
209,8
210,10
211,14
212,11
213,6
214,7
215,6
216,10
217,10
218,9
219,9
220,8
221,8
222,7
223,14
224,4
225,10
226,6
227,7
228,13
229,10
230,6
231,9
232,7
233,2
234,7
235,8
236,4
237,6
238,9
239,8
240,9
241,9
242,6
243,8
244,4
245,6
246,4
247,6
248,7
249,4
250,8
251,6
252,12
253,8
254,11
255,12
256,8
257,12
258,13
259,14
260,8
261,10
262,10
263,9
264,11
265,7
266,14
267,9
268,8
269,9
270,6
271,8
272,6
273,9
274,12
275,8
276,14
277,10
278,10
279,7
280,11
281,9
282,4
283,15
284,10
285,8
286,5
287,3
288,4
289,12
290,8
291,9
292,8
293,1
294,10
295,10
296,11
297,7
298,5
299,8
300,9
301,2
302,8
303,13
304,3
305,9
306,12
307,11
308,7
309,13
310,11
311,8
312,7
313,10
314,9
315,8
316,9
317,11
318,4
319,7
320,6
321,14
322,6
323,8
324,7
325,8
326,6
327,4
328,8
329,5
330,6
331,6
332,9
333,9
334,8
335,6
336,11
337,9
338,4
339,8
340,9
341,4
342,10
343,9
344,4
345,4
346,9
347,8
348,12
349,7
350,12
351,3
352,5
353,13
354,8
355,8
356,8
357,5
358,7
359,7
360,3
361,10
362,7
363,15
364,4
365,12
366,11
367,10
368,10
369,4
370,10
371,4
372,6
373,11
374,7
375,9
376,13
377,7
378,12
379,6
380,6
381,11
382,5
383,5
384,7
385,7
386,9
387,7
388,4
389,13
390,14
391,8
392,9
393,9
394,7
395,6
396,3
397,9
398,9
399,12
400,9
401,8
402,11
403,4
404,11
405,7
406,6
407,6
408,10
409,15
410,8
411,10
412,9
413,8
414,9
415,5
416,10
417,3
418,7
419,7
420,12
421,7
422,13
423,14
424,8
425,12
426,10
427,13
428,8
429,7
430,6
431,7
432,9
433,2
434,1
435,4
436,13
437,8
438,8
439,9
440,8
441,11
442,12
443,4
444,6
445,8
446,8
447,6
448,12
449,11
450,7
451,7
452,6
453,5
454,8
455,4
456,11
457,9
458,9
459,3
460,9
461,9
462,9
463,9
464,11
465,7
466,7
467,7
468,7
469,5
470,7
471,10
472,7
473,10
474,8
475,13
476,5
477,6
478,8
479,5
480,9
481,10
482,8
483,6
484,9
485,6
486,9
487,8
488,13
489,9
490,10
491,12
492,8
493,8
494,9
495,12
496,5
497,9
498,6
499,15
500,6
501,11
502,9
503,8
504,10
505,7
506,8
507,12
508,3
509,12
510,9
511,11
512,8
513,6
514,4
515,13
516,6
517,8
518,7
519,8
520,11
521,11
522,9
523,13
524,13
525,11
526,5
527,6
528,6
529,8
530,6
531,8
532,6
533,8
534,8
535,5
536,9
537,14
538,6
539,10
540,8
541,10
542,7
543,6
544,4
545,3
546,9
547,11
548,5
549,10
550,9
551,6
552,7
553,9
554,9
555,10
556,8
557,5
558,13
559,6
560,6
561,8
562,9
563,5
564,9
565,4
566,2
567,14
568,9
569,13
570,8
571,6
572,7
573,8
574,8
575,10
576,8
577,8
578,3
579,9
580,9
581,10
582,6
583,6
584,4
585,13
586,5
587,3
588,6
589,6
590,8
591,12
592,10
593,8
594,12
595,5
596,9
597,4
598,7
599,14
600,3
601,5
602,6
603,13
604,11
605,7
606,8
607,6
608,12
609,8
610,6
611,10
612,12
613,9
614,8
615,14
616,6
617,10
618,11
619,8
620,5
621,13
622,7
623,12
624,9
625,9
626,8
627,4
628,8
629,2
630,2
631,6
632,12
633,7
634,7
635,6
636,5
637,8
638,10
639,8
640,12
641,7
642,6
643,11
644,5
645,6
646,8
647,3
648,3
649,6
650,9
651,8
652,12
653,6
654,7
655,8
656,9
657,7
658,10
659,8
660,5
661,11
662,4
663,3
664,4
665,14
666,7
667,12
668,10
669,4
670,10
671,6
672,11
673,6
674,10
675,5
676,6
677,10
678,9
679,7
680,6
681,4
682,11
683,7
684,11
685,9
686,10
687,2
688,3
689,6
690,11
691,7
692,6
693,10
694,7
695,9
696,11
697,4
698,7
699,6
700,2
701,4
702,10
703,10
704,6
705,9
706,10
707,2
708,12
709,8
710,13
711,6
712,8
713,10
714,6
715,7
716,7
717,4
718,10
719,14
720,14
721,8
722,12
723,7
724,17
725,9
726,12
727,9
728,7
729,10
730,7
731,10
732,5
733,5
734,3
735,5
736,1
737,5
738,6
739,4
740,7
741,15
742,11
743,9
744,7
745,12
746,9
747,6
748,4
749,7
750,13
751,5
752,9
753,9
754,10
755,12
756,10
757,7
758,10
759,4
760,8
761,7
762,5
763,3
764,9
765,14
766,7
767,8
768,13
769,8
770,5
771,10
772,11
773,13
774,6
775,9
776,7
777,9
778,9
779,8
780,11
781,7
782,7
783,3
784,11
785,12
786,9
787,8
788,3
789,4
790,6
791,14
792,7
793,6
794,10
795,9
796,13
797,12
798,11
799,7
800,5
801,6
802,4
803,6
804,9
805,11
806,11
807,9
808,7
809,7
810,8
811,11
812,8
813,6
814,5
815,7
816,9
817,7
818,5
819,13
820,10
821,8
822,10
823,5
824,11
825,6
826,11
827,5
828,11
829,7
830,10
831,14
832,5
833,10
834,6
835,11
836,4
837,9
838,7
839,7
840,6
841,9
842,9
843,11
844,13
845,10
846,9
847,9
848,9
849,9
850,8
851,4
852,8
853,7
854,8
855,7
856,6
857,11
858,9
859,5
860,10
861,3
862,5
863,10
864,7
865,5
866,10
867,14
868,6
869,5
870,7
871,9
872,8
873,8
874,6
875,9
876,15
877,9
878,9
879,10
880,7
881,4
882,10
883,9
884,12
885,7
886,7
887,5
888,5
889,6
890,13
891,10
892,11
893,8
894,8
895,5
896,5
897,8
898,4
899,7
900,7
901,9
902,9
903,4
904,6
905,7
906,12
907,7
908,3
909,11
910,4
911,4
912,5
913,7
914,4
915,11
916,10
917,7
918,9
919,13
920,7
921,5
922,6
923,8
924,11
925,10
926,5
927,7
928,8
929,5
930,14
931,8
932,8
933,14
934,7
935,7
936,10
937,6
938,12
939,5
940,9
941,12
942,14
943,13
944,12
945,7
946,6
947,8
948,6
949,12
950,6
951,11
952,9
953,6
954,7
955,10
956,9
957,15
958,10
959,11
960,5
961,8
962,4
963,8
964,11
965,10
966,7
967,7
968,13
969,7
970,4
971,7
972,13
973,7
974,9
975,8
976,8
977,5
978,8
979,4
980,11
981,13
982,11
983,13
984,6
985,9
986,9
987,6
988,2
989,6
990,5
991,10
992,8
993,9
994,9
995,6
996,6
997,12
998,10
999,6
1000,7
1001,7
1002,6
1003,8
1004,8
1005,9
1006,8
1007,5
1008,5
1009,5
1010,11
1011,17
1012,9
1013,6
1014,15
1015,4
1016,5
