FROM,TO
1567,109
1568,109
1173,97
1140,97
1141,97
1142,97
1143,97
1144,97
1145,97
1146,97
1147,97
1148,97
1149,97
1150,97
1151,97
1152,97
1153,97
1154,97
1155,97
1156,97
1157,97
1158,97
1159,97
1160,97
1161,97
1162,97
1163,97
1164,97
1165,97
1166,97
1167,97
1168,97
1169,97
1170,97
1171,97
1172,97
399,76
400,76
442,50
443,50
444,50
445,50
446,50
447,50
448,50
449,50
450,50
451,50
452,50
453,50
454,50
455,50
456,50
457,50
458,50
459,50
460,50
461,50
462,50
463,50
464,50
465,50
466,50
467,50
468,50
469,50
470,50
471,50
472,50
473,50
474,50
475,50
476,50
477,50
478,50
479,50
480,50
481,50
482,50
483,50
484,50
485,50
486,50
487,50
488,50
489,50
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
100,4
101,4
102,4
103,4
104,4
105,4
122,5
123,5
124,5
125,5
126,5
127,5
128,5
129,6
130,6
131,6
132,6
133,6
134,6
186,7
187,7
188,7
189,7
190,7
191,7
192,7
193,7
194,7
249,8
250,8
251,8
292,9
293,9
294,9
295,9
332,10
333,10
334,10
335,10
336,10
337,10
338,10
339,10
340,10
341,10
342,10
343,10
344,10
345,11
346,11
394,13
395,13
396,13
397,13
398,13
401,14
402,14
403,14
404,14
405,14
406,14
407,14
408,14
409,14
410,14
518,15
519,15
520,15
521,15
522,15
523,16
524,16
525,16
526,16
527,16
528,16
529,16
530,16
531,16
607,17
608,17
609,17
610,17
611,17
612,17
613,17
614,17
615,17
616,17
683,18
684,18
685,18
686,18
687,18
688,18
689,18
690,18
691,18
692,18
693,18
694,18
695,18
728,19
729,19
730,20
731,20
732,20
733,20
734,20
735,21
736,21
737,22
738,22
739,22
740,22
741,22
742,22
743,22
744,22
745,22
746,22
747,22
748,22
749,23
750,23
751,23
752,23
753,23
754,23
755,23
756,23
757,23
771,24
772,24
773,24
774,24
775,25
776,25
777,26
814,27
815,27
816,27
817,27
844,29
845,29
846,29
847,29
848,29
849,29
850,29
851,29
852,29
853,29
854,29
855,29
856,29
857,29
858,29
859,29
860,29
861,30
862,30
863,30
867,32
868,32
869,32
870,32
871,32
872,32
873,32
874,32
875,32
876,32
877,32
878,32
879,32
880,32
881,32
882,32
883,32
884,32
885,32
886,32
898,34
899,34
900,34
901,34
902,34
903,35
904,35
998,36
999,36
1000,36
1003,37
1004,37
1005,37
1006,37
1007,37
1008,37
1009,38
1010,38
1011,38
1012,38
1109,39
1110,39
1111,40
1112,40
1113,40
1114,40
1115,40
1116,40
1119,41
1120,41
1121,41
1122,41
1123,41
1124,41
1125,41
1126,41
1127,42
1128,42
1129,42
1130,42
1131,42
1132,42
1133,42
1134,42
1135,42
1136,43
1137,43
1138,43
1139,43
1231,44
1232,44
1233,44
1234,44
1273,45
1274,45
1275,45
1276,45
1277,45
1278,45
1279,45
1280,45
1281,45
1282,45
1283,45
1284,45
1285,45
1286,45
1287,45
1288,45
1289,45
1290,45
1291,45
1292,46
1293,46
1294,46
1295,46
1535,47
1536,47
1537,47
1538,47
1562,48
1563,48
1564,48
1565,48
1566,48
135,49
136,49
137,49
138,49
139,49
140,49
141,49
142,49
143,49
144,49
145,49
146,49
147,49
148,49
149,49
150,49
151,49
152,49
153,49
154,49
155,49
156,49
157,49
158,49
159,49
160,49
161,49
162,49
163,49
164,49
165,49
166,49
167,49
168,49
169,49
170,49
171,49
172,49
173,49
174,49
175,49
176,49
177,49
178,49
179,49
180,49
181,49
182,49
183,49
184,49
185,49
555,51
556,51
557,51
558,51
559,51
560,51
561,51
562,51
563,51
564,51
565,51
566,51
567,51
568,51
569,51
570,51
571,51
572,51
573,51
574,51
575,51
576,51
577,51
578,51
579,51
580,51
581,51
582,51
583,51
584,51
585,51
586,51
587,51
588,51
664,52
665,52
666,52
667,52
668,52
669,52
670,52
671,52
672,52
673,52
674,52
675,52
676,52
677,52
678,52
679,52
680,52
681,52
682,52
778,53
779,53
780,53
781,53
782,53
783,53
784,53
785,53
786,53
787,53
788,53
789,53
790,53
791,53
792,53
793,53
794,53
795,53
796,53
797,53
798,53
799,53
800,53
801,53
802,53
803,53
804,53
805,53
806,53
807,53
808,53
887,54
888,54
889,54
890,54
891,54
892,54
893,54
894,54
895,54
896,54
897,54
949,55
950,55
951,55
952,55
953,55
954,55
955,55
956,55
957,55
958,55
959,55
960,55
961,55
962,55
963,55
964,55
965,55
966,55
967,55
968,55
1023,56
1024,56
1025,56
1026,56
1027,56
1028,56
1029,56
1030,56
1031,56
1032,56
1033,56
1034,56
1035,56
1036,56
1037,56
1038,56
1039,56
1040,56
1041,56
1042,56
1043,56
1044,56
1045,56
1046,56
1047,56
1048,56
1049,56
1050,56
1051,56
1052,56
1053,56
1054,56
1055,56
1056,56
1057,56
1058,56
1059,56
1060,56
1061,56
1062,56
1063,56
1064,56
1065,56
1066,56
1067,56
1068,56
1069,56
1070,56
1071,56
1072,56
1073,56
1074,56
1075,56
1076,56
1077,56
1078,56
1079,56
1080,56
1081,56
1082,56
1083,56
1084,56
1085,56
1086,56
1087,56
1088,56
1089,56
1090,56
1091,56
1092,56
1093,56
1094,56
1095,56
1096,56
1097,56
1098,56
1099,56
1100,56
1101,56
1102,56
1103,56
1104,56
1105,56
1106,56
1107,56
1108,56
1440,57
1441,57
1442,57
1443,57
1444,57
1445,57
1446,57
1447,57
1448,57
1449,57
1450,57
1451,57
1452,57
1453,57
1454,57
1455,57
1456,57
1457,57
1458,57
1459,57
1460,57
1461,57
1462,57
1463,57
1464,57
1465,57
1466,57
1467,57
1468,57
1469,57
1470,57
1471,57
1472,57
1473,57
1474,57
1475,57
1476,57
1477,57
1478,57
1479,57
1480,57
1481,57
1482,57
1483,57
1484,57
1485,57
1486,57
1487,57
1488,57
1489,57
1490,57
1491,57
1492,57
1493,57
1494,57
1495,57
1496,57
1497,57
1498,57
1499,57
1500,57
1501,57
1502,57
1503,57
1504,57
1505,57
1506,57
1507,57
1508,57
1509,57
1510,57
1511,57
1512,57
1513,57
1514,57
1515,57
1516,57
1517,57
1518,57
1519,57
1520,57
1521,57
1522,57
1523,57
1524,57
1525,57
1526,57
1527,57
1528,57
1529,57
1530,57
1531,57
1532,57
1533,57
1534,57
1557,58
1558,58
1559,58
1560,58
1561,58
0,59
1,59
2,59
3,59
4,59
5,59
6,59
7,60
8,60
9,60
10,60
11,60
21,61
22,61
23,61
24,61
25,61
26,61
27,61
28,61
29,61
30,61
31,61
32,61
33,61
34,62
35,62
36,62
37,62
38,62
39,62
40,62
41,62
42,62
43,62
44,62
45,62
46,62
47,62
48,62
49,62
50,62
51,62
52,62
53,62
54,62
55,62
56,62
57,62
58,62
59,62
60,62
61,62
62,62
63,62
64,62
65,62
66,62
67,62
68,62
69,62
70,62
71,62
72,62
73,62
74,62
75,62
76,62
77,62
78,62
106,63
107,63
108,63
109,63
110,64
111,64
112,64
113,64
114,64
115,64
116,64
117,64
118,64
119,64
120,64
121,64
210,66
211,66
212,66
213,66
214,66
215,66
216,66
217,66
218,66
219,66
220,66
221,66
222,66
223,66
224,66
225,66
226,66
227,66
228,66
229,66
230,66
231,66
232,66
233,66
234,66
235,66
236,66
237,66
238,66
239,66
240,66
241,66
242,66
243,66
244,66
245,66
246,66
247,66
248,66
195,67
196,67
197,67
198,67
199,67
200,67
201,67
202,67
203,67
204,67
205,68
206,68
207,68
208,68
209,68
252,69
253,69
254,69
255,69
256,69
257,69
258,69
259,69
260,69
261,70
262,70
263,70
264,70
265,70
266,70
267,70
268,70
269,70
270,70
271,70
272,70
273,70
274,70
275,70
276,70
277,70
278,70
279,70
280,70
281,70
282,70
283,70
284,70
285,70
286,70
287,70
288,70
289,70
290,70
291,70
296,71
297,71
298,71
299,72
300,72
301,72
302,72
303,72
304,72
305,72
306,72
307,72
308,73
309,73
310,73
311,73
312,73
313,73
314,73
315,73
316,73
317,73
318,73
319,73
320,73
321,73
322,73
323,73
324,73
325,73
326,73
327,73
328,73
329,73
330,73
331,73
347,74
348,74
349,74
350,74
351,74
352,74
353,74
354,74
355,74
356,74
357,74
358,74
359,74
360,74
361,74
362,74
363,74
364,74
365,74
366,74
367,74
368,74
369,74
370,75
371,75
372,75
373,75
374,75
375,75
376,75
377,75
378,75
379,75
380,75
381,75
382,75
383,75
384,75
385,75
386,75
387,75
388,75
389,75
390,75
391,75
392,75
393,75
411,77
412,77
413,77
414,77
415,77
416,77
417,77
418,77
419,77
420,77
421,77
422,77
423,77
424,77
425,77
426,77
427,77
428,77
429,77
430,77
431,77
432,77
433,77
434,77
435,77
436,77
437,77
438,77
439,77
440,77
441,77
490,78
491,78
492,78
493,78
494,78
495,78
496,78
497,78
498,78
499,78
500,78
501,78
502,78
503,78
504,78
505,78
506,78
507,78
508,78
509,78
510,78
511,78
512,78
513,78
514,78
515,78
516,78
517,78
532,79
533,79
534,79
535,79
536,79
537,79
589,80
590,80
591,80
592,80
593,80
594,80
595,80
596,80
597,80
598,80
599,80
600,80
601,80
602,80
603,80
604,80
605,80
606,80
617,81
618,81
619,81
620,81
621,81
622,81
623,81
624,81
625,81
626,81
627,81
628,81
629,81
630,81
631,81
632,81
633,81
634,81
635,81
636,81
637,81
638,81
639,81
640,81
641,81
642,81
643,81
644,81
645,81
646,81
647,81
648,81
649,81
650,81
651,81
652,81
653,81
654,81
655,81
656,81
657,81
658,81
659,81
660,81
661,81
662,81
663,81
696,82
697,82
698,82
699,82
700,82
701,82
702,82
703,82
704,82
705,82
706,82
707,82
708,82
709,82
710,82
711,82
712,82
713,82
714,82
715,82
716,83
717,83
718,83
719,83
720,83
721,83
722,83
723,83
724,83
725,83
726,83
727,83
759,85
760,85
761,85
762,85
763,85
764,85
765,85
766,85
767,85
768,85
769,85
770,85
809,86
810,86
811,86
812,86
813,86
818,87
819,87
820,87
821,87
822,87
823,87
824,88
825,88
826,88
827,88
828,89
829,89
830,89
831,89
832,89
833,89
834,89
835,89
836,89
837,89
838,89
839,89
840,89
841,89
842,89
843,89
864,90
865,90
866,90
939,91
940,91
941,91
942,91
943,91
944,91
945,91
946,91
947,91
948,91
982,93
983,93
984,93
985,93
986,93
987,93
988,93
989,93
990,93
991,93
992,93
993,93
994,93
995,93
996,93
997,93
1001,94
1002,94
1013,95
1014,95
1015,95
1016,95
1017,95
1018,95
1019,95
1020,95
1021,95
1022,95
1181,99
1182,99
1183,99
1184,99
1185,99
1186,99
1187,99
1188,99
1189,99
1190,99
1191,99
1192,99
1193,99
1194,99
1195,99
1196,99
1197,99
1198,99
1199,99
1200,99
1201,99
1202,99
1203,99
1204,99
1205,99
1206,99
1207,99
1208,99
1209,99
1210,99
1211,99
1212,99
1213,99
1214,99
1215,99
1216,99
1217,99
1218,99
1219,99
1220,99
1221,99
1222,99
1223,99
1224,99
1225,99
1296,102
1297,102
1298,102
1299,102
1300,102
1301,102
1302,102
1303,103
1304,103
1305,103
1306,103
1307,103
1308,103
1309,103
1310,103
1311,103
1312,103
1313,103
1314,103
1315,103
1316,103
1317,103
1318,103
1319,103
1320,104
1321,104
1322,104
1323,104
1324,104
1325,104
1326,105
1327,105
1328,105
1329,105
1330,105
1331,105
1332,105
1333,105
1334,105
1335,105
1336,105
