person,city
14,1166
16,1284
27,1282
33,969
47,1356
66,177
79,1292
100,975
113,161
137,1050
141,502
167,117
177,720
182,1411
183,708
210,445
217,1173
218,883
235,652
251,1223
261,866
283,521
332,357
358,1056
361,919
376,239
381,268
384,510
396,346
440,1203
474,118
480,804
495,348
501,1364
504,223
563,264
641,1278
664,1195
681,1073
682,259
694,1219
697,516
704,787
716,541
837,278
926,436
939,1267
948,1086
970,491
977,1340
999,1125
1020,305
1024,274
1032,231
1034,746
1057,1432
1065,785
1077,1256
1093,943
1164,1058
1167,1306
1169,939
1179,611
1193,844
1198,1239
1227,1097
1272,1022
1302,1040
1339,1383
1365,1041
1375,742
1380,1295
1386,529
1390,679
1424,1274
1434,1285
1450,401
1462,976
1497,1341
1511,1095
1513,944
1521,499
1527,684
1534,949
1537,1422
1567,991
1585,486
1636,500
1639,291
1656,1397
1738,1242
1760,780
1774,1368
1810,632
1851,1326
1882,1451
1891,471
1933,765
1952,753
1953,465
1975,603
1978,1321
1989,337
2028,1210
2040,614
2119,1345
2123,725
2174,1269
2184,254
2201,1438
2208,121
2212,925
2216,131
2218,834
2226,798
2227,688
2238,261
2239,284
2318,218
2358,191
2368,1062
2378,842
2394,229
2435,643
2445,951
2473,1185
2482,1385
2529,1424
2565,1047
2613,176
2658,364
2659,882
2662,259
2665,1405
2676,416
2715,776
2718,294
2735,1075
2756,377
2772,205
2782,527
2783,1348
2828,548
2835,1124
2840,1144
2842,1134
2857,298
2866,928
2869,370
2896,516
2941,791
2958,781
2965,1102
2972,878
2975,351
2992,1205
3018,1419
3020,808
3036,585
3050,1058
3079,732
3092,424
3093,1388
3096,1325
3100,629
3105,1222
3118,1070
3128,981
3139,668
3156,672
3166,478
3183,456
3213,389
3218,417
3224,947
3261,1125
3283,1256
3297,739
3302,217
3303,218
3342,733
3366,994
3380,113
3381,444
3388,390
3390,447
3409,709
3435,275
3451,1242
3470,477
3486,1058
3507,201
3520,1420
3536,534
3576,149
3579,632
3585,1243
3616,366
3628,906
3630,537
3655,1445
3656,980
3702,1037
3728,844
3791,952
3809,1445
3819,1314
3825,613
3837,726
3850,1336
3875,897
3903,448
3918,568
3927,1423
3955,1139
4026,865
4044,1236
4091,189
4097,1383
4104,785
4105,712
4109,568
4138,756
4199,466
4203,830
4207,368
4228,980
4229,948
4269,1214
4334,291
4337,423
4340,222
4355,523
4365,682
4378,713
4379,1369
4385,173
4413,546
4478,493
4503,201
4546,1251
4617,603
4618,445
4621,1408
4633,639
4650,406
4651,638
4676,1191
4687,1230
4688,208
4724,1418
4726,1125
4728,368
4741,223
4758,593
4768,1157
4802,785
4828,324
4835,951
4857,121
4866,1362
4869,1208
4870,363
4929,878
4934,581
4961,960
4966,318
4985,178
4992,567
5074,744
5078,174
5099,892
5155,1120
5157,196
5186,924
5187,279
5202,1429
5231,938
5247,660
5252,942
5260,1074
5320,229
5322,1067
5327,618
5344,522
5346,1342
5378,1232
5393,140
5438,1209
5452,655
5461,808
5471,678
5474,724
5489,334
5494,501
5499,580
5553,1079
5615,1157
5619,940
